Region,Total Region,Arson,Campfire,"Debris
Burning","Elec.
Power","Equip.
Use",Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle
NORTHERN REGION,,,,,,,,,,,,,
Amador-El Dorado,559286.00,850.00,0.00,2550.00,56170.00,81900.00,0.00,232250.00,0.00,0.00,70.00,80201.00,105295.00
Butte,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Humboldt-Del Norte,1595068.00,347901.00,0.00,0.00,270617.00,705000.00,0.00,61000.00,0.00,0.00,0.00,210550.00,0.00
Lassen-Modoc,865304.00,0.00,0.00,0.00,0.00,0.00,1.00,110101.00,0.00,2.00,0.00,550000.00,205200.00
Mendocino,693434.00,0.00,0.00,500.00,153502.00,101002.00,0.00,5620.00,0.00,0.00,0.00,152788.00,280022.00
Nevada-Yuba-Placer,1520141.00,16.00,0.00,16504.00,4252.00,207070.00,0.00,1049827.00,450.00,0.00,171100.00,70422.00,500.00
San Mateo-Santa Cruz,28803.00,0.00,15002.00,100.00,1000.00,300.00,0.00,200.00,0.00,0.00,0.00,201.00,12000.00
Santa Clara,321468.00,0.00,0.00,3500.00,61550.00,3400.00,0.00,200.00,0.00,0.00,0.00,241798.00,11020.00
Shasta-Trinity,215711.00,52000.00,0.00,12211.00,0.00,100500.00,0.00,40000.00,0.00,0.00,0.00,700.00,10300.00
Siskiyou,295712.00,200.00,0.00,500.00,286411.00,501.00,0.00,1500.00,500.00,1300.00,0.00,4800.00,0.00
Sonoma-Lake-Napa,111549257.00,105260000.00,0.00,1600.00,4620.00,151704.00,0.00,258730.00,0.00,0.00,0.00,5628903.00,243700.00
Tehama-Glenn,434250.00,0.00,0.00,200.00,371000.00,7850.00,0.00,200.00,0.00,0.00,0.00,34000.00,21000.00
TOTAL,118078434.00,105660967.00,15002.00,37665.00,1209122.00,1359227.00,1.00,1759628.00,950.00,1302.00,171170.00,6974363.00,889037.00
SOUTHERN REGION,,,,,,,,,,,,,
Fresno-Kings,812917.00,758025.00,0.00,2020.00,3656.00,0.00,0.00,1.00,0.00,0.00,25000.00,17200.00,7015.00
Madera-Mariposa,525835.00,10600.00,0.00,269660.00,151525.00,26000.00,0.00,1100.00,0.00,0.00,0.00,47450.00,19500.00
Riverside,3620.00,0.00,0.00,0.00,0.00,600.00,0.00,1020.00,0.00,0.00,0.00,2000.00,0.00
San Benito-Monterey,11251885.00,1000.00,10345582.00,777200.00,8101.00,900.00,0.00,23700.00,0.00,0.00,0.00,84400.00,11002.00
San Bernardino,629595.00,0.00,0.00,200.00,20000.00,0.00,0.00,604045.00,0.00,0.00,0.00,5350.00,0.00
San Diego,4286760.00,0.00,0.00,0.00,0.00,15210.00,0.00,23700.00,0.00,0.00,0.00,3833850.00,414000.00
San Luis Obispo,12215711.00,700.00,0.00,0.00,23460.00,21300.00,0.00,0.00,0.00,0.00,200.00,7300.00,12162751.00
Tulare,8664.00,0.00,2.00,0.00,4000.00,1750.00,500.00,0.00,0.00,0.00,0.00,2.00,2410.00
Tuolumne-Calaveras,453472.00,0.00,1600.00,1871.00,10002.00,291400.00,0.00,1077.00,20750.00,0.00,20.00,31946.00,94806.00
TOTAL,30188459.00,770325.00,10347184.00,1050951.00,220744.00,357160.00,500.00,654643.00,20750.00,0.00,25220.00,4029498.00,12711484.00
STATE TOTAL,148266893.00,106431292.00,10362186.00,1088616.00,1429866.00,1716387.00,501.00,2414271.00,21700.00,1302.00,196390.00,11003861.00,13600521.00
